Timestamp,Vehicle_Count
2022-02-12 20-20-50,4
2022-02-12 20-23-30,2
2022-02-12 20-30-10,4
2022-02-12 20-34-30,1
2022-02-12 20-39-31,5
2022-02-12 20-44-31,2
2022-02-12 20-50-31,5
2022-02-12 20-56-31,5
2022-02-12 21-01-51,6
2022-02-12 21-03-31,1
2022-02-12 21-07-52,3
2022-02-12 21-13-12,5
2022-02-12 21-18-52,7
2022-02-12 21-24-12,2
2022-02-12 21-29-12,5
2022-02-12 21-35-32,1
2022-02-12 21-39-13,2
2022-02-12 21-44-33,2
2022-02-12 21-47-53,0
2022-02-12 21-52-53,1
2022-02-12 21-57-33,5
2022-02-12 22-04-54,5
2022-02-12 22-08-54,5
2022-02-12 22-14-34,6
2022-02-12 22-20-14,4
2022-02-12 22-23-54,3
2022-02-12 22-28-15,1
2022-02-12 22-39-15,1
2022-02-12 22-43-55,1
2022-02-12 22-50-15,0
2022-02-12 22-54-35,2
2022-02-12 22-59-56,0
2022-02-12 23-05-16,0
2022-02-12 23-09-56,1
2022-02-12 23-16-16,0
2022-02-12 23-21-17,1
2022-02-12 23-26-17,1
2022-02-12 23-29-37,0
2022-02-12 23-35-17,2
2022-02-12 23-41-37,0
2022-02-12 23-44-17,1
2022-02-12 23-49-17,1
2022-02-12 23-54-58,1
2022-02-12 23-58-58,1
2022-02-13 00-04-18,0
2022-02-13 00-08-38,2
2022-02-13 00-14-38,0
2022-02-13 00-19-59,1
2022-02-13 00-28-59,0
2022-02-13 00-34-59,1
2022-02-13 00-41-20,0
2022-02-13 00-50-00,0
2022-02-13 00-55-00,0
2022-02-13 00-58-40,1
2022-02-13 01-05-40,1
2022-02-13 01-11-01,1
2022-02-13 01-14-01,0
2022-02-13 01-20-21,2
2022-02-13 01-24-01,0
2022-02-13 01-29-01,0
2022-02-13 01-35-01,2
2022-02-13 01-39-22,1
2022-02-13 01-45-22,2
2022-02-13 01-49-02,0
2022-02-13 01-54-42,0
2022-02-13 01-59-02,0
2022-02-13 02-05-22,0
2022-02-13 02-07-43,1
2022-02-13 02-14-43,4
2022-02-13 02-19-43,1
2022-02-13 02-24-43,2
2022-02-13 02-30-03,0
2022-02-13 02-34-04,0
2022-02-13 02-39-04,0
2022-02-13 02-44-04,0
2022-02-13 02-49-24,0
2022-02-13 02-54-24,0
2022-02-13 02-58-44,1
2022-02-13 03-05-05,0
2022-02-13 03-10-45,1
2022-02-13 03-14-05,0
2022-02-13 03-20-05,0
2022-02-13 03-25-46,0
2022-02-13 03-29-26,1
2022-02-13 03-35-06,0
2022-02-13 03-39-26,0
2022-02-13 03-43-46,0
2022-02-13 03-49-47,1
2022-02-13 03-54-07,1
2022-02-13 04-00-27,0
2022-02-13 04-05-07,2
2022-02-13 04-09-07,0
2022-02-13 04-14-07,0
2022-02-13 04-19-08,0
2022-02-13 04-24-08,0
2022-02-13 04-29-48,1
2022-02-13 04-34-48,0
2022-02-13 04-38-48,0
2022-02-13 04-44-28,0
2022-02-13 04-50-49,0
2022-02-13 04-54-29,0
2022-02-13 04-59-29,1
2022-02-13 05-05-49,1
2022-02-13 05-10-09,0
2022-02-13 05-14-30,0
2022-02-13 05-19-30,0
2022-02-13 05-23-10,0
2022-02-13 05-30-30,0
2022-02-13 05-34-51,1
2022-02-13 05-41-11,0
2022-02-13 05-43-11,1
2022-02-13 05-49-51,0
2022-02-13 05-54-31,0
2022-02-13 05-58-51,1
2022-02-13 06-05-12,1
2022-02-13 06-11-52,0
2022-02-13 06-14-32,1
2022-02-13 06-18-32,0
2022-02-13 06-24-13,0
2022-02-13 06-29-33,0
2022-02-13 06-34-33,0
2022-02-13 06-38-53,0
2022-02-13 06-43-53,1
2022-02-13 06-50-34,1
2022-02-13 06-55-34,1
2022-02-13 06-59-34,4
2022-02-13 07-05-34,1
2022-02-13 07-09-34,0
2022-02-13 07-14-34,1
2022-02-13 07-19-35,2
2022-02-13 07-23-15,1
2022-02-13 07-30-35,1
2022-02-13 07-35-35,6
2022-02-13 07-38-55,5
2022-02-13 07-44-56,3
2022-02-13 07-53-16,6
2022-02-13 07-55-16,4
2022-02-13 08-01-16,7
2022-02-13 08-05-36,1
2022-02-13 08-11-57,5
2022-02-13 08-14-17,3
2022-02-13 08-21-57,4
2022-02-13 08-24-37,3
2022-02-13 08-30-17,1
2022-02-13 08-36-17,2
2022-02-13 08-38-38,2
2022-02-13 08-45-18,3
2022-02-13 08-50-38,3
2022-02-13 08-56-18,2
2022-02-13 09-00-38,6
2022-02-13 09-06-18,5
2022-02-13 09-09-59,3
2022-02-13 09-15-39,2
2022-02-13 09-22-59,5
2022-02-13 09-26-19,4
2022-02-13 09-30-19,6
2022-02-13 09-35-59,2
2022-02-13 09-41-40,4
2022-02-13 09-45-40,6
2022-02-13 09-50-40,2
2022-02-13 10-00-40,3
2022-02-13 10-07-20,9
2022-02-13 10-12-01,5
2022-02-13 10-17-21,9
2022-02-13 10-21-41,5
2022-02-13 10-25-41,8
2022-02-13 10-31-21,9
2022-02-13 10-37-01,4
2022-02-13 10-45-02,10
2022-02-13 10-46-42,9
2022-02-13 10-51-02,5
2022-02-13 10-56-02,5
2022-02-13 11-00-22,11
2022-02-13 11-08-22,6
2022-02-13 11-12-02,6
2022-02-13 11-15-02,9
2022-02-13 11-22-43,4
2022-02-13 11-25-23,8
2022-02-13 11-32-03,9
2022-02-13 11-38-03,6
2022-02-13 11-40-03,8
2022-02-13 11-44-23,8
2022-02-13 11-50-24,10
2022-02-13 11-56-04,7
2022-02-13 12-01-04,10
2022-02-13 12-09-04,7
2022-02-13 12-12-04,15
2022-02-13 12-17-45,7
2022-02-13 12-22-05,2
2022-02-13 12-26-25,6
2022-02-13 12-32-25,9
2022-02-13 12-36-05,11
2022-02-13 12-41-25,11
2022-02-13 12-46-45,12
2022-02-13 12-50-06,5
